model,type,arm,metric,n,mean,median,q25,q75
gpt-4o-mini,two-clause,backwards,comet,25,0.9423102569580079,0.9521508812904358,0.936323344707489,0.9581496119499207
gpt-4o-mini,two-clause,comparator,bleu,25,0.07064056806137514,0.03673526562988939,0.025540496664715903,0.08295193507109859
gpt-4o-mini,two-clause,comparator,chrf,25,0.20697984734385075,0.16838595067230236,0.08280136387901478,0.28016422032475186
gpt-4o-mini,two-clause,comparator,chrfpp,25,0.20807879418906905,0.1632331911508829,0.08857713478909318,0.29048803694234876
gpt-4o-mini,two-clause,comparator,comet,25,0.3654837155342102,0.30729037523269653,0.28481853008270264,0.37756627798080444
gpt-4o-mini,two-verb,backwards,bleu,25,0.169472774337469,0.22957488466614337,0.07314031826828765,0.25848657697858535
gpt-4o-mini,two-verb,backwards,chrf,25,0.5744536393857872,0.5801384538133996,0.49603840689718387,0.7099084497528793
gpt-4o-mini,two-verb,backwards,chrfpp,25,0.5611438482049687,0.5875570282057764,0.4825182241248722,0.699985746695204
gpt-4o-mini,two-verb,backwards,comet,25,0.7758049285411834,0.8877630829811096,0.5334271192550659,0.9442154765129089
gpt-4o-mini,two-verb,comparator,bleu,25,0.1088578335029865,0.07495553473355845,0.03377156414337854,0.14991106946711685
gpt-4o-mini,two-verb,comparator,chrf,25,0.3632678328070903,0.3571963986592326,0.20417584507400025,0.5028179115719152
gpt-4o-mini,two-verb,comparator,chrfpp,25,0.3624124497704975,0.3697995505275617,0.2004155407763389,0.5291347469667596
gpt-4o-mini,two-verb,comparator,comet,25,0.5328608787059784,0.48510679602622986,0.3568820655345917,0.6534103155136108
llama3.1:8b,complex,backwards,bleu,25,0.18843058938198393,0.15848738972120702,0.09423716574733432,0.24598127518343305
llama3.1:8b,complex,backwards,chrf,25,0.4188087584581856,0.4166507934514884,0.35666299791039596,0.4904784895747259
llama3.1:8b,complex,backwards,chrfpp,25,0.40234562100175064,0.4047825126199325,0.3262029716647701,0.4781217270556719
